processed_at,status,business_name,city,category,website,domain,best_email,all_emails,email_source_url,pages_checked,checked_urls,reason,source_url,google_maps_url,place_id
2026-06-18T21:37:46Z,failed,patronhotel.com,,,https://patronhotel.com,patronhotel.com,,,,0,,homepage_fetch_failed,,,
2026-06-18T21:38:22Z,found,theroomslara.com,,,https://theroomslara.com,theroomslara.com,theroomslara@gmail.com,theroomslara@gmail.com,https://www.theroomslara.com/rezervasyon/,5,https://www.theroomslara.com/ | https://www.theroomslara.com/rezervasyon/ | https://www.theroomslara.com/iletisim/ | https://www.theroomslara.com/iletisim/ | https://www.theroomslara.com/ileti%C5%9Fim/,source_visible_email_found,,,
2026-06-18T21:38:31Z,found,hotelantroyal.com,,,https://hotelantroyal.com,hotelantroyal.com,info@hotelantroyal.com,info@hotelantroyal.com,https://hotelantroyal.com/kvkk.html,2,https://hotelantroyal.com/ | https://hotelantroyal.com/kvkk.html,source_visible_email_found,,,
2026-06-18T21:38:37Z,found,verasuites.net,,,https://verasuites.net,verasuites.net,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,https://www.verasuites.net/,1,https://www.verasuites.net/,source_visible_email_found,,,
2026-06-18T21:38:43Z,found,suitelaguna.com,,,https://suitelaguna.com,suitelaguna.com,info@suitelaguna.com,info@suitelaguna.com,https://suitelaguna.com/,2,https://suitelaguna.com/ | https://suitelaguna.com/kvkk-aydinlatma-metni/,source_visible_email_found,,,
2026-06-18T21:38:53Z,failed,dreamtimehotelspa.com,,,https://dreamtimehotelspa.com,dreamtimehotelspa.com,,,,0,,homepage_fetch_failed,,,
2026-06-18T21:38:53Z,found,royaltyezel.com,,,https://royaltyezel.com,royaltyezel.com,info@royaltyezel.com,royalezelhotel@gmail.com;info@royaltyezel.com,https://www.royaltyezel.com/,4,https://www.royaltyezel.com/ | https://www.royaltyezel.com/iletisim/ | https://www.royaltyezel.com/hakkimizda/ | https://www.royaltyezel.com/iletisim/,source_visible_email_found,,,
2026-06-18T21:39:18Z,found,olihotel.com.tr,,,https://olihotel.com.tr,olihotel.com.tr,info@olihotel.com.tr,info@olihotel.com.tr,https://theolihotel.com/,6,https://theolihotel.com/ | https://theolihotel.com/iletisim/ | https://theolihotel.com/kullanici-satis-sozlesmesi/ | https://theolihotel.com/en/contact-us/ | https://theolihotel.com/en/contact-us/ | https://theolihotel.com/iletisim/,source_visible_email_found,,,
2026-06-18T21:39:34Z,no_email,ersoy-ak-pansiyon.antalyahotel.org,,,https://ersoy-ak-pansiyon.antalyahotel.org,ersoy-ak-pansiyon.antalyahotel.org,,,,8,https://ersoy-ak-pansiyon.antalyahotel.org/ | https://ersoy-ak-pansiyon.antalyahotel.org/#contact | https://ersoy-ak-pansiyon.antalyahotel.org/en/ | https://ersoy-ak-pansiyon.antalyahotel.org/en/ | https://ersoy-ak-pansiyon.antalyahotel.org/en/ | https://ersoy-ak-pansiyon.antalyahotel.org/en/ | https://ersoy-ak-pansiyon.antalyahotel.org/en/ | https://ersoy-ak-pansiyon.antalyahotel.org/en/,no_source_visible_email,,,
2026-06-18T21:39:45Z,found,pearlyhotel.com,,,https://pearlyhotel.com,pearlyhotel.com,info@pearlyhotel.com,info@pearlyhotel.com,https://www.pearlyhotel.com/tr,8,https://www.pearlyhotel.com/tr | https://www.pearlyhotel.com/tr/about | https://www.pearlyhotel.com/tr/contact | https://www.pearlyhotel.com/tr/kvkk | https://www.pearlyhotel.com/tr/privacy-policy | https://www.pearlyhotel.com/tr/policy | https://www.pearlyhotel.com/tr/sustainability-policy | https://www.pearlyhotel.com/tr,source_visible_email_found,,,
2026-06-18T21:39:58Z,found,primeotel.com,,,https://primeotel.com,primeotel.com,info@primeotel.com,info@primeotel.com,https://primeotel.com/,6,https://primeotel.com/ | https://primeotel.com/hakkimizda/ | https://primeotel.com/iletisim/ | https://booking.primeotel.com/ | https://booking.primeotel.com/ | https://primeotel.com/kvkk-cerez-politikasi/,source_visible_email_found,,,
2026-06-18T21:40:08Z,found,grandkayalar.com,,,https://grandkayalar.com,grandkayalar.com,info@grandkayalar.com,info@grandkayalar.com,https://grandkayalar.com/,7,https://grandkayalar.com/ | https://grandkayalar.com/index.php | https://www.grandkayalar.com?404 | https://www.grandkayalar.com?404 | https://www.grandkayalar.com?404 | https://www.grandkayalar.com?404 | https://www.grandkayalar.com?404,source_visible_email_found,,,
2026-06-18T21:40:16Z,found,bulvarhotelantalya.com,,,https://bulvarhotelantalya.com,bulvarhotelantalya.com,info@bulvarhotelantalya.com,info@bulvarhotelantalya.com,https://bulvarhotelantalya.com/,2,https://bulvarhotelantalya.com/ | https://bulvarhotelantalya.com/contact.php,source_visible_email_found,,,
2026-06-18T21:40:23Z,found,swhite.rezervasyonal.com,,,https://swhite.rezervasyonal.com,swhite.rezervasyonal.com,swhitehotel2024@gmail.com,swhitehotel2024@gmail.com,https://swhite.rezervasyonal.com/,1,https://swhite.rezervasyonal.com/,source_visible_email_found,,,
2026-06-18T21:40:29Z,found,toprakotelantalya.com,,,https://toprakotelantalya.com,toprakotelantalya.com,info@toprakotelantalya.com,info@toprakotelantalya.com,https://toprakotelantalya.com/,5,https://toprakotelantalya.com/ | https://toprakotelantalya.com/antalya-apart-otel/toprak-otel-antalya | https://toprakotelantalya.com/iletisim | https://toprakotelantalya.com/iletisim | https://toprakotelantalya.com/tr/iletisim,source_visible_email_found,,,
2026-06-18T21:40:38Z,found,erdemhotel.com,,,https://erdemhotel.com,erdemhotel.com,info@erdemhotel.com,info@erdemhotel.com,https://erdemhotel.com/,3,https://erdemhotel.com/ | https://erdemhotel.com/sayfa/hakkimizda.html | https://erdemhotel.com/iletisim.html,source_visible_email_found,,,
2026-06-18T21:40:44Z,found,parkhotelrooms.com,,,https://parkhotelrooms.com,parkhotelrooms.com,info@parkhotelrooms.com,info@parkhotelrooms.com,https://www.parkhotelrooms.com/,4,https://www.parkhotelrooms.com/ | https://www.parkhotelrooms.com/kurumsal | https://www.parkhotelrooms.com/rezervasyon | https://www.parkhotelrooms.com/iletisim,source_visible_email_found,,,
2026-06-18T21:40:52Z,found,belmondosuites.com,,,https://belmondosuites.com,belmondosuites.com,info@belmondosuites.com,info@belmondosuites.com,https://belmondosuites.com/,5,https://belmondosuites.com/ | https://belmondosuites.com/about.html | https://belmondosuites.com/contact.html | https://belmondosuites.com/reservation.html | https://belmondosuites.com/birthday.html,source_visible_email_found,,,
2026-06-18T21:40:59Z,found,sirenaapart.com,,,https://sirenaapart.com,sirenaapart.com,info@sirenahotel.com.tr,info@sirenahotel.com.tr;u003einfo@sirenahotel.com.tr,https://www.sirenaapart.com/,4,https://www.sirenaapart.com/ | https://www.sirenaapart.com/antalya-konyaalti-sirenaapart-apartotel/ | https://www.sirenaapart.com/rezervasyon/ | https://www.sirenaapart.com/iletisim/,source_visible_email_found,,,
2026-06-18T21:41:06Z,failed,nurgulpansiyon.com,,,https://nurgulpansiyon.com,nurgulpansiyon.com,,,,0,,homepage_fetch_failed,,,
2026-06-18T21:41:07Z,found,stilesuite.com,,,https://stilesuite.com,stilesuite.com,info@stilesuite.com,info@stilesuite.com,https://www.stilesuite.com/iletisim/,3,https://www.stilesuite.com/ | https://www.stilesuite.com/iletisim/ | https://www.stilesuite.com/iletisim/,source_visible_email_found,,,
2026-06-18T21:41:16Z,failed,yelkenaparthotel.com,,,https://yelkenaparthotel.com,yelkenaparthotel.com,,,,0,,homepage_fetch_failed,,,
2026-06-18T21:41:16Z,found,oscarbutikhotel.com,,,https://oscarbutikhotel.com,oscarbutikhotel.com,info@oscarbutikhotel.com,info@oscarbutikhotel.com,https://www.oscarbutikhotel.com/iletisim/,5,https://www.oscarbutikhotel.com/ | https://www.oscarbutikhotel.com/rezervasyon/ | https://www.oscarbutikhotel.com/iletisim/ | https://www.oscarbutikhotel.com/iletisim/ | https://www.oscarbutikhotel.com/ileti%C5%9Fim/,source_visible_email_found,,,
2026-06-18T21:41:25Z,found,seversuiteshotel.com,,,https://seversuiteshotel.com,seversuiteshotel.com,seversuites@hotmail.com,seversuites@hotmail.com,https://seversuiteshotel.com/,3,https://seversuiteshotel.com/ | https://seversuiteshotel.com/iletisim | https://seversuiteshotel.com/kurumsal,source_visible_email_found,,,
2026-06-18T21:41:33Z,found,alpinnapart.com,,,https://alpinnapart.com,alpinnapart.com,info@alpinnapart.com,info@alpinnapart.com,https://alpinnapart.com/,3,https://alpinnapart.com/ | https://alpinnapart.com/rezervasyon.asp | https://alpinnapart.com/iletisim.asp,source_visible_email_found,,,
2026-06-18T21:41:41Z,found,premiumrezidans.com,,,https://premiumrezidans.com,premiumrezidans.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,https://www.premiumrezidans.com/,1,https://www.premiumrezidans.com/,source_visible_email_found,,,
2026-06-18T21:41:47Z,found,casasalexisymary.com,,,https://casasalexisymary.com,casasalexisymary.com,mrl0670@gmail.com,mrl0670@gmail.com,https://casasalexisymary.com/,3,https://casasalexisymary.com/ | https://casasalexisymary.com/contact/ | https://casasalexisymary.com/contact/,source_visible_email_found,,,
2026-06-18T21:42:21Z,found,delightdeluxehotel.com,,,https://delightdeluxehotel.com,delightdeluxehotel.com,info@delightdeluxehotel.com,info@delightdeluxehotel.com,https://delightdeluxehotel.com/,3,https://delightdeluxehotel.com/ | http://delightdeluxehotel.com/infoen | https://delightdeluxehotel.com/booking/,source_visible_email_found,,,
