run_date,lead_id,hotel_name,city,hotel_type_or_segment,website,instagram,phone,verified_email,email_source_url,website_source_url,instagram_source_url,phone_source_url,decision_maker_name,decision_maker_source_url,confidence_score,short_note,reason_for_fit,validation_notes
2026-06-15,agora-boutique-hotel-agoraoldcity-com-3ce842582d,Agora Boutique Hotel,,hotel,https://agoraoldcity.com/,,+902125188536,mail:info@agoraoldcity.com,https://agoraoldcity.com/contact-us/,https://agoraoldcity.com/,,https://agoraoldcity.com/contact-us/,,,100,Verified hotel page with source-valid email and phone. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant page.; Checked URLs: https://agoraoldcity.com/, https://agoraoldcity.com/booking/, https://agoraoldcity.com/contact-us/; No inferred email used."
2026-06-15,albatros-hagia-sophia-hotel-albatroshagiasophia-com-8378299323,Albatros Hagia Sophia Hotel,,hotel,http://www.albatroshagiasophia.com/,@albatroshagiasophiahotel,+902125267160,contact@albatroshagiasophia.com,http://www.albatroshagiasophia.com/contact/,http://www.albatroshagiasophia.com/,http://www.albatroshagiasophia.com/,http://www.albatroshagiasophia.com/,,,100,Verified hotel page with source-valid email and phone. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant page.; Checked URLs: http://www.albatroshagiasophia.com/, http://www.albatroshagiasophia.com/contact/, http://www.albatroshagiasophia.com/rezervation/; No inferred email used."
2026-06-15,alfa-hotel-alfahotelistanbul-com-43c8e63d20,Alfa Hotel,,hotel,http://www.alfahotelistanbul.com/,,+902125896094,info@alfahotelistanbul.com,http://www.alfahotelistanbul.com/,http://www.alfahotelistanbul.com/,,http://www.alfahotelistanbul.com/,,,100,Verified hotel page with source-valid email and phone. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant page HTML/text.; Checked URLs: http://www.alfahotelistanbul.com/, http://www.alfahotelistanbul.com/about.html, http://www.alfahotelistanbul.com/contact.html; No inferred email used."
2026-06-15,amber-hotel-hotelamber-com-242c83a3fd,Amber Hotel,,hotel,https://hotelamber.com/,,+902125184801,info@hotelamber.com,https://hotelamber.com/,https://hotelamber.com/,,https://hotelamber.com/,,,100,Verified hotel page with source-valid email and phone. Checked 4 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant page HTML/text.; Checked URLs: https://hotelamber.com/, https://hotelamber.com/contacts/, https://hotelamber.com/about/, https://hotelamber.com/booking/; No inferred email used."
2026-06-15,apart-hotel-hippodrome-hippodromehotel-com-b1bc24c8a1,Apart Hotel Hippodrome,,hotel,https://hippodromehotel.com/,,+902125174529,hippodrome@hippodromehotel.com,https://hippodromehotel.com/,https://hippodromehotel.com/,,https://hippodromehotel.com/,,,100,Verified hotel page with source-valid email and phone. Checked 4 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant page.; Checked URLs: https://hippodromehotel.com/, https://hippodromehotel.com/contacts/, https://hippodromehotel.com/booking/, https://hippodromehotel.com/about/; No inferred email used."
2026-06-15,armagrandi-spina-hotel-armagrandi-com-8b05e77ed3,Armagrandi Spina Hotel,,hotel,https://armagrandi.com/,,+902126381727,spina@armagrandi.com,https://armagrandi.com/contact-us/,https://armagrandi.com/,,https://armagrandi.com/contact-us/,,,100,Verified hotel page with source-valid email and phone. Checked 2 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant page HTML/text.; Checked URLs: https://armagrandi.com/, https://armagrandi.com/contact-us/; No inferred email used."
2026-06-15,asitane-life-hotel-asitanehotel-com-b81529e004,Asitane Life Hotel,,hotel,https://www.asitanehotel.com/,,+902125180121,info@asitanehotel.com,https://www.asitanehotel.com/,https://www.asitanehotel.com/,,https://www.asitanehotel.com/,,,100,Verified hotel page with source-valid email and phone. Checked 2 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant page.; Checked URLs: https://www.asitanehotel.com/, https://www.asitanehotel.com/index.php; No inferred email used."
2026-06-15,atlantis-royal-hotel-istanbul-atlantishotelistanbul-com-0632df8314,Atlantis Royal Hotel Istanbul,,hotel,https://atlantishotelistanbul.com/,@atlantisroyalhotel,+902124585801,info@atlantishotelistanbul.com,https://atlantishotelistanbul.com/,https://atlantishotelistanbul.com/,https://atlantishotelistanbul.com/,https://atlantishotelistanbul.com/,,,100,Verified hotel page with source-valid email and phone. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email extracted from official/relevant page HTML/text.; Checked URLs: https://atlantishotelistanbul.com/, https://atlantishotelistanbul.com/about-us/, https://atlantishotelistanbul.com/contact/; No inferred email used."
2026-06-15,ayasofya-hotel-special-class-ayasofyahotel-com-56c69d30cf,Ayasofya Hotel - Special Class,,hotel,https://ayasofyahotel.com/,@ayasofyahotel,+902125140663,info@ayasofyahotel.com,https://ayasofyahotel.com/,https://ayasofyahotel.com/,https://ayasofyahotel.com/,https://ayasofyahotel.com/,,,100,Verified hotel page with source-valid email and phone. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email decoded from Cloudflare email-protection on official hotel page.; Checked URLs: https://ayasofyahotel.com/, https://ayasofyahotel.com/hakkimizda/, https://ayasofyahotel.com/iletisim/; No inferred email used."
2026-06-15,bali-n-hotel-special-category-balinhotel-com-817da6a25e,BALİN HOTEL SPECIAL CATEGORY,,hotel,https://www.balinhotel.com/,@balinhotelspecialcategory,+902126382020,info@balinhotel.com,https://www.balinhotel.com/,https://www.balinhotel.com/,https://www.balinhotel.com/,https://www.balinhotel.com/,,,100,Verified hotel page with source-valid email and phone. Checked 3 page(s).,Hotel/accommodation keywords verified.,"Email extracted from mailto link on official/relevant page.; Checked URLs: https://www.balinhotel.com/, https://www.balinhotel.com/about.html, https://www.balinhotel.com/contact.html; No inferred email used."
