run_date,lead_id,hotel_name,city_area,hotel_type_or_segment,star_or_positioning,website,instagram,phone,verified_email,email_status,email_source_url,website_source_url,phone_source_url,first_contact_channel,confidence_score,short_note,validation_notes
2026-06-17,ANT-HOTEL-20260617-1500-001,Aspen Hotel Kaleiçi,Muratpaşa / Kaleiçi,boutique hotel,boutique / city hotel,https://www.aspenhotel.com.tr/,,+90 242 247 0590,info@aspenhotel.com.tr,verified,https://www.aspenhotel.com.tr/contact,https://www.aspenhotel.com.tr/,https://www.aspenhotel.com.tr/contact,email,0.96,Kaleiçi boutique hotel with multilingual tourist-facing website.,Official contact page publishes address email and phone.
2026-06-17,ANT-HOTEL-20260617-1500-002,Puding Hotel,Muratpaşa / Kaleiçi,boutique hotel,boutique / old town hotel,https://pudinghotel.com/,,+90 242 241 35 35,info@pudinghotel.com,verified,https://pudinghotel.com/,https://pudinghotel.com/,https://pudinghotel.com/,email,0.96,Kaleiçi boutique accommodation with EN/RU language options.,Official homepage/footer publishes email phones address and hotel concept.
2026-06-17,ANT-HOTEL-20260617-1500-003,Tuvana Hotel,Muratpaşa / Kaleiçi,boutique hotel,boutique hotel,https://tuvanahotel.com/,,+90 242 247 60 15,info@tuvanahotel.com,verified,https://tuvanahotel.com/,https://tuvanahotel.com/,https://tuvanahotel.com/,email,0.97,Historic Kaleiçi boutique hotel with foreign-language site.,Official site publishes email phone address and boutique positioning.
2026-06-17,ANT-HOTEL-20260617-1500-004,Elegance East Hotel,Muratpaşa / Kaleiçi,boutique hotel,boutique / special accommodation,https://www.eleganceeasthotel.com/,,+90 242 244 00 44,info@eleganceeasthotel.com,verified,https://www.eleganceeasthotel.com/,https://www.eleganceeasthotel.com/,https://www.eleganceeasthotel.com/,email,0.95,Kaleiçi hotel with room inventory and direct booking signals.,Official site publishes email phone address and rooms.
2026-06-17,ANT-HOTEL-20260617-1500-005,Minyon Hotel,Muratpaşa / Kaleiçi,boutique hotel,boutique / small hotel,https://www.minyonhotel.com/,,+90 242 247 11 47,,website-only,,https://www.minyonhotel.com/,https://www.minyonhotel.com/,phone,0.84,Kaleiçi small hotel with Turkish English and German site.,Official site publishes phone address rooms and contact area; email is protected/redacted in parsed source so not copied.
2026-06-17,ANT-HOTEL-20260617-1500-006,Doğan Hotel,Muratpaşa / Kaleiçi,boutique hotel,old town hotel,https://doganhotel.com/,,+90 242 247 46 54,info@doganhotel.com,verified,https://doganhotel.com/,https://doganhotel.com/,https://doganhotel.com/,email,0.96,Kaleiçi old town hotel with multilingual official website.,Official site publishes email phone address rooms and social links.
2026-06-17,ANT-HOTEL-20260617-1500-007,Alp Paşa Hotel,Muratpaşa / Kaleiçi,boutique hotel,boutique / historic hotel,https://alppasa.com/,,+90 242 247 56 76,info@alppasa.com,verified,https://alppasa.com/tr/,https://alppasa.com/tr/,https://alppasa.com/tr/,email,0.95,Historic Kaleiçi hotel with room segments and direct reservation link.,Official site publishes email phone address and accommodation details.
2026-06-17,ANT-HOTEL-20260617-1500-008,Hotel 1207 Special Class,Muratpaşa / Kaleiçi,boutique hotel,special class hotel,https://www.hotel1207.com/,,,,website-only,,https://www.hotel1207.com/,,website,0.72,Official site identifies Hotel 1207 Special Class but content is JavaScript-rendered.,No verified email or phone visible in parsed official page.
2026-06-17,ANT-HOTEL-20260617-1500-009,White Garden Hotel,Muratpaşa / Kaleiçi,boutique hotel,boutique / small hotel,https://www.whitegardenhotel.com/,,,,website-only,,https://www.whitegardenhotel.com/,,website,0.73,Official site shows White Garden Hotel with reservation and language options.,No verified email or phone visible in parsed official page.
2026-06-17,ANT-HOTEL-20260617-1500-010,Castle Old Town,Muratpaşa / Kaleiçi,boutique hotel,old town small hotel,https://www.castleoldtown.com/,,+90 552 700 80 60,,website-only,,https://www.castleoldtown.com/,https://www.castleoldtown.com/,phone,0.84,Kaleiçi old town hotel with official room and contact page.,Phone and address visible on official site; email is Cloudflare-protected/redacted in parsed source so not copied.
