processed_at,business_name,city,category,website,domain,best_email,all_emails,email_source_url,pages_checked,source_url,google_maps_url,place_id
2026-06-19T08:43:01Z,sealandtrip.com,,,https://sealandtrip.com,sealandtrip.com,info@sealandtrip.com,info@sealandtrip.com,https://sealandtrip.com/,7,,,
2026-06-19T08:43:13Z,lufertour.com,,,https://lufertour.com,lufertour.com,info@lufertour.com,info@lufertour.com,https://lufertour.com/,8,,,
2026-06-19T08:43:19Z,dinnercruisebosphorus.com,,,https://dinnercruisebosphorus.com,dinnercruisebosphorus.com,info@dinnercruisebosphorus.com,info@dinnercruisebosphorus.com,https://www.dinnercruisebosphorus.com/,4,,,
2026-06-19T08:43:28Z,allinclusive-collection.com,,,https://allinclusive-collection.com,allinclusive-collection.com,reservations.rixosmarina@accor.com,reservations.rixosmarina@accor.com;rixos.sharmelsheikh@accor.com;reservation.saadiyat@rixos.com;reservations.rixospalm@accor.com;reservations.rixossaadiyat@accor.com;rhblk.onlinereservation@rixos.com;reservation.gulfdoha@accor.com;rixos.premiummagawish@accor.com;rixos.premiumseagate@accor.com;sotogrande@so-hotels.com;reservations.rixosmairid@accor.com;rhmlt.onlinereservation@rixos.com;rhbxn.onlinereservation@rixos.com;rhtkr.onlinereservation@rixos.com;rhprk.onlinereservation@rixos.com;rixos.premiumalamein@accor.com;rixos.radamis@accor.com;swissotel.sharmelsheikh@swissotel.com;reservation.rak@rixos.com;rhccr.onlinereservation@rixos.com;rixos.aktau.re@accor.com;slspm.reservations@slshotels.com;rhbld.onlinereservation@rixos.com;reservation.rixosqetaifan@accor.com;rhgck.onlinereservation@rixos.com;thlol.reservationpbx@thelandoflegendsthemepark.com;sorak.reservation@so-hotels.com;reservation.premiumdubai@rixos.com;dubrovnik@rixos.com;astana@rixos.com;bodrum.info@hydehotels.com;hb1q4-re@accor.com;reservations.rixosobhour@accor.com;pera@rixos.com;alatau.reservation@swissotel.com;info.tersane@rixos.com;rixos.montazaalexandria@accor.com;hb1n9-re@accor.com;info.murjana@rixos.com;reservations.phuquoc@rixos.com;magawish.reservation@accor.com,https://booking.allinclusive-collection.com/en/search?modifySearch=false&rooms%5B0%5D.accessible=false&rooms%5B0%5D.adults=2&rooms%5B0%5D.children=0,3,,,
2026-06-19T08:43:55Z,istanbultouristpass.com,,,https://istanbultouristpass.com,istanbultouristpass.com,contact@istanbultouristpass.com,contact@istanbultouristpass.com;support@istanbultouristpass.com;info@istanbultouristpass.com,https://istanbultouristpass.com/,8,,,
2026-06-19T08:44:00Z,juliettur.com,,,https://juliettur.com,juliettur.com,info@juliettur.com,julietturizm@gmail.com;info@juliettur.com,https://www.juliettur.com/kvkk,6,,,
2026-06-19T08:44:08Z,antalyapmem.pol.tr,,,https://antalyapmem.pol.tr,antalyapmem.pol.tr,antalyapmem@egm.gov.tr,antalyapmem@egm.gov.tr,https://antalyapmem.pol.tr/iletisim,4,,,
2026-06-19T08:44:19Z,rixos.com,,,https://rixos.com,rixos.com,call@rixos.com,anjeanette.manuel@accor.com;call@rixos.com;data.privacy@rixos.com;dataprivacy@rixos.com,https://www.rixos.com/terms-and-policy,5,,,
2026-06-19T08:44:59Z,luckymonkeyhotel.com,,,https://luckymonkeyhotel.com,luckymonkeyhotel.com,fo@luckymonkeyhotel.com,fo@luckymonkeyhotel.com,https://www.luckymonkeyhotel.com/,1,,,
2026-06-19T08:45:07Z,gezinomi.com,,,https://gezinomi.com,gezinomi.com,ornek@mail.com,ornek@mail.com,https://www.gezinomi.com/iletisim,6,,,
