processed_at,business_name,city,category,website,domain,best_email,all_emails,email_source_url,pages_checked,source_url,google_maps_url,place_id
2026-06-20T10:56:21Z,adrasankardespansiyon.com,,,https://adrasankardespansiyon.com,adrasankardespansiyon.com,info@kardespansiyon.com,info@kardespansiyon.com,https://kardespansiyon.com/tr/iletisim/,8,,,
2026-06-20T10:56:25Z,buhanahotel.com,,,https://buhanahotel.com,buhanahotel.com,info@buhanahotel.com-www.buhanahotel.com,info@buhanahotel.com-www.buhanahotel.com,http://buhanahotel.com/,3,,,
2026-06-20T10:56:41Z,changaadrasan.com,,,https://changaadrasan.com,changaadrasan.com,info@changaadrasan.com,info@changaadrasan.com;e-postainfo@changaadrasan.com;e-mailinfo@changaadrasan.com,https://www.changaadrasan.com/,5,,,
2026-06-20T10:56:53Z,hotelaslihan.com,,,https://hotelaslihan.com,hotelaslihan.com,rizaakin@gmail.com,rizaakin@gmail.com,https://hotelaslihan.com/iletisim,7,,,
2026-06-20T10:56:59Z,adrasankaanotel.com,,,https://adrasankaanotel.com,adrasankaanotel.com,info@adrasankaanotel.com,info@adrasankaanotel.com,https://adrasankaanotel.com/iletisim/,4,,,
2026-06-20T10:57:11Z,lykiaedrassahotel.com,,,https://lykiaedrassahotel.com,lykiaedrassahotel.com,info@lykiaedrassahotel.com,info@lykiaedrassahotel.com,https://www.lykiaedrassahotel.com/,4,,,
2026-06-20T10:57:19Z,mithatmotel.com,,,https://mithatmotel.com,mithatmotel.com,ulisescardenas78@gmail.com,ulisescardenas78@gmail.com,https://thebest100hotels.com/contacto/,3,,,
2026-06-20T10:57:31Z,naturalpansiyon.com.tr,,,https://naturalpansiyon.com.tr,naturalpansiyon.com.tr,naturalpansiyon@gmail.com,naturalpansiyon@gmail.com,https://naturalpansiyon.com.tr/kvkk-aydinlatma-metni/,5,,,
2026-06-20T10:57:57Z,olympospansiyon.com.tr,,,https://olympospansiyon.com.tr,olympospansiyon.com.tr,info@olympospansiyon.com.tr,info@olympospansiyon.com.tr,https://olympospansiyon.com.tr/,5,,,
2026-06-20T10:58:16Z,olymposruya.com,,,https://olymposruya.com,olymposruya.com,info@olymposruya.com,info@olymposruya.com,http://olymposruya.com/olympos-ruya-pansiyon-antalya-iletisim.asp,4,,,
2026-06-20T10:58:23Z,onotel.com,,,https://onotel.com,onotel.com,on@onotel.com,on@onotel.com,https://www.onotel.com/iletisim.html,3,,,
2026-06-20T10:58:33Z,onuncukoyhotel.com,,,https://onuncukoyhotel.com,onuncukoyhotel.com,info@onuncukoyhotel.com,info@onuncukoyhotel.com,https://www.onuncukoyhotel.com/,8,,,
2026-06-20T10:58:39Z,adrasanpalmirahotel.com,,,https://adrasanpalmirahotel.com,adrasanpalmirahotel.com,info@adrasanpalmirahotel.com,info@adrasanpalmirahotel.com,https://adrasanpalmirahotel.com/iletisim,4,,,
2026-06-20T10:58:55Z,rosebudolympos.com,,,https://rosebudolympos.com,rosebudolympos.com,sezerakdemir95@gmail.com,sezerakdemir95@gmail.com,https://rosebudolympos.com/,5,,,
2026-06-20T10:59:20Z,pataraakayhotel.com,,,https://pataraakayhotel.com,pataraakayhotel.com,info@model.com.tr,info@model.com.tr,https://pataraakayhotel.com/,1,,,
2026-06-20T10:59:24Z,ucuzpansiyonlar.net,,,https://ucuzpansiyonlar.net,ucuzpansiyonlar.net,contact@zaidbookdepot.com,contact@zaidbookdepot.com,https://zaidbookdepot.com/,8,,,
2026-06-20T10:59:33Z,asfiyaseaviewhotel.com,,,https://asfiyaseaviewhotel.com,asfiyaseaviewhotel.com,info@asfiyaseaviewhotel.com,info@asfiyaseaviewhotel.com,https://asfiyaseaviewhotel.com/,8,,,
2026-06-20T10:59:38Z,blancabeachhotel.com,,,https://blancabeachhotel.com,blancabeachhotel.com,info@blancabeachhotel.com,info@website.com;info@blancabeachhotel.com,https://blancabeachhotel.com/iletisim/,4,,,
2026-06-20T10:59:46Z,carrubahotel.com,,,https://carrubahotel.com,carrubahotel.com,info@carrubahotel.com,info@carrubahotel.com,https://carrubahotel.com/iletisim,4,,,
2026-06-20T11:00:03Z,elixirhotelkalkan.com,,,https://elixirhotelkalkan.com,elixirhotelkalkan.com,elixirhotelkalkan@gmail.com,elixirhotelkalkan@gmail.com,http://elixirhotelkalkan.com/,5,,,
